,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,Garage.interaction,new.old,Room.size,full.YrSold,QuarterSold,TotalBath,BathToBed,AvgHouseLivArea.ratio,SalePrice
11,20,RL,70,11200,NA,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,6,6,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,3,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,NA,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,WD,Normal,1.TA,1.48913043478251,208,200802,1,2,0.747804265997491,0.969903394864621,129500
12,60,RL,85,11924,NA,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,2,6,2005,2006,Hip,CompShg,Shingles,Wd Shng,Stone,286,5,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,NA,NA,NA,0,New,Partial,3.TA,-0.461538461538567,211,200607,3,4,0.849104859335038,0.968636032093363,345000
13,20,RL,81.2977314696309,12968,NA,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,6,5,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,3,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,NA,Detchd,1962,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,NA,NA,NA,0,WD,Normal,1.TA,-1.51086956521749,228,200809,3,2,1.12170639899624,0.850530669342822,144000
14,20,RL,91,10652,NA,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,4,6,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,4,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,NA,NA,NA,0,New,Partial,3.TA,9.296551724138,213,200708,3,2,0.92607847387817,1.09901427100191,279500
15,20,RL,74.2100510050471,10920,NA,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,6,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,3,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,NA,GdWo,NA,0,WD,Normal,1.TA,-0.0270270270270885,251,200805,2,2.5,1.56943788379783,1.05886316270306,157000
16,50,RM,51,6120,NA,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Fin,4,3,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,NA,Detchd,1991,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,NA,GdPrv,NA,0,WD,Normal,2.TA,-5.16393442622962,171,200707,3,1,1.01758793969849,0.634843647176387,132000
17,20,RL,75.3598370804212,11241,NA,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,4,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,3,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,700,WD,Normal,2.TA,9.97297297297291,201,201003,1,2,1.04629192253188,0.848442629971165,149000
18,90,RL,72,10791,NA,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,7,6,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,3,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,NA,Other,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,500,WD,Normal,2.TA,-4.83333333333326,216,200610,4,2,2.24341279799247,0.731239420725973,90000
19,20,RL,66,13695,NA,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,6,6,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,3,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,NA,Detchd,2004,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,6.34210526315792,186,200806,2,2.5,0.69722041461374,0.872662804840339,159000
20,20,RL,70,7560,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1958,1965,Hip,CompShg,Brick,Plywood,None,0,3,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,NA,Attchd,1958,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,COD,Abnorml,1.TA,-2.02702702702709,223,200905,2,1,0.69752794835459,1.1315385274217,139000
21,60,RL,101,14215,NA,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,3,6,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,4,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,NA,NA,NA,0,New,Partial,3.TA,-0.461538461538567,264,200611,4,3.5,0.990622335890878,0.990309471709909,325300
22,50,RM,57,7449,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Fin,4,4,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,5,Y,FuseFP,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,Gd,Attchd,1930,Unf,1,280,TA,TA,N,0,0,205,0,0,0,NA,GdPrv,NA,0,WD,Normal,1.TA,2.59999999999991,185,200706,2,1,0.65034965034965,0.817298573204915,139400
23,20,RL,75,9742,NA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,3,6,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,4,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,Gd,Attchd,2002,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,5.296551724138,256,200809,3,2,0.92607847387817,1.32043548624393,230000
24,120,RM,44,4224,NA,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,6,4,1976,1976,Gable,CompShg,Cement,Cement,None,0,3,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,TA,Attchd,1976,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,1,177,200706,2,2,0.548148148148148,1.0126582278481,129900
25,20,RL,63.9337760031218,8246,NA,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,6,3,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,3,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,TA,Attchd,1968,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,NA,MnPrv,NA,0,WD,Normal,1.TA,4.48913043478251,177,201005,2,2,0.747804265997491,0.988555383227402,154000
26,20,RL,110,14230,NA,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,3,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,4,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,Gd,Attchd,2007,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,NA,NA,NA,0,WD,Normal,3.TA,1.24637681159425,229,200907,3,2,0.754759874964479,0.84215022922658,256300
27,20,RL,60,7200,NA,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,4,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,NA,Detchd,2005,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,-9.02702702702709,180,201005,2,1.5,0.69752794835459,0.760556142404431,134800
28,20,RL,98,11478,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,3,6,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,4,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,Gd,Attchd,2008,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,NA,NA,NA,0,WD,Normal,3.TA,1.24637681159425,243,201005,2,3,0.754759874964479,0.896889994126307,306000
29,20,RL,47,16321,NA,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,3,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,Gd,Attchd,1957,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,NA,NA,NA,0,WD,Normal,1.TA,-3.02702702702709,267,200612,4,2,1.04629192253188,1.35209980871899,207500
30,30,RM,60,6324,NA,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,7,5,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,NA,Detchd,1920,Unf,1,240,FaPo,TA,Y,49,0,87,0,0,0,NA,NA,NA,0,WD,Normal,1.FaPo,-0.875,130,200805,2,1,2.03517587939698,0.562238140289228,68500
31,70,C (all),50,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,7,7,1920,1950,Other,CompShg,Brick,Brick,None,0,3,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,NA,Detchd,1920,Unf,1,250,TA,FaPo,N,0,54,172,0,0,0,NA,MnPrv,NA,0,WD,Normal,1.TA,3.25,220,200807,3,1,0.65034965034965,0.875034604949892,40000
32,20,RL,65.1496941498837,8544,NA,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,6,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,3,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,NA,Attchd,1966,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,NA,MnPrv,NA,0,WD,Normal,1.TA,2.48913043478251,205,200806,2,1.5,1.12170639899624,1.14523208547476,149350
33,20,RL,85,11049,NA,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,3,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,4,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,NA,Attchd,2007,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,10.296551724138,176,200801,1,2,0.92607847387817,0.907753420626747,179900
34,20,RL,70,10552,NA,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,Brick,Brick,None,0,3,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,Typ,1,Gd,Attchd,1959,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,-1.02702702702709,283,201004,2,2,0.784718941898914,1.43660604676393,165500
35,120,RL,60,7313,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,2,6,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,5,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,Gd,Attchd,2005,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,-0.682926829268354,260,200708,3,3,1.13213981244672,1.06455422488357,277500
36,60,RL,108,13418,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,3,6,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,4,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,NA,NA,NA,0,WD,Normal,3.TA,-1.46153846153857,272,200609,3,3.5,0.990622335890878,1.02198603730332,309000
37,20,RL,112,10859,NA,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,6,6,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,NA,Attchd,1995,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,-2.703448275862,183,200906,2,1.5,0.694558855408628,0.806973664852141,145000
38,20,RL,74,8532,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,3,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,TA,Attchd,1954,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,-6.02702702702709,259,200910,4,1.5,0.69752794835459,1.09604590744283,153000
39,20,RL,68,7922,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,4,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,3,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,NA,Detchd,1953,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,NA,NA,NA,0,WD,Abnorml,1.TA,-7.02702702702709,211,201001,1,2,0.69752794835459,0.893230936134982,109000
40,90,RL,65,6040,NA,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,7,6,1955,1955,Gable,CompShg,Shingles,Plywood,None,0,3,TA,PConc,NA,NA,NA,NA,0,NA,0,0,0,GasA,3,N,FuseFP,1152,0,0,1152,0,0,2,0,2,2,2,6,Typ,0,NA,NA,1955,NA,0,0,NA,NA,N,0,0,0,0,0,0,NA,NA,NA,0,WD,Abnorml,0.NA,-9.88888888888891,192,200806,2,2,1.90382728164868,0.875601722827464,82000
41,20,RL,84,8658,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,3,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,TA,Attchd,1965,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,NA,GdWo,NA,0,WD,Abnorml,2.TA,4.97297297297291,221,200612,4,2,1.39505589670918,1.11886259171496,160000
42,20,RL,115,16905,NA,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,6,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,3,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,Gd,Attchd,1959,RFn,1,308,TA,TA,P,0,104,0,0,0,0,NA,NA,NA,0,WD,Normal,1.TA,-35.4583333333333,266,200707,3,2,0.987202925045704,0.80270995202176,170000
43,85,RL,67.679922044056,9180,NA,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,6,4,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,3,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,NA,Attchd,1983,RFn,2,504,TA,ExGd,Y,240,0,0,0,0,0,NA,MnPrv,NA,0,WD,Normal,2.TA,-4.5,177,200712,4,2,0.69722041461374,0.940425531914894,144000
44,20,RL,67.7581317570929,9200,NA,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,6,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0,3,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,NA,Detchd,1977,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,NA,MnPrv,NA,0,WD,Normal,1.TA,-21.703448275862,188,200807,3,2,0.463039236939085,0.690010298661174,130250
45,20,RL,70,7945,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1959,1959,Gable,CompShg,Brick,Wd Sdng,None,0,3,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,NA,Attchd,1959,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,WD,Normal,1.TA,-1.02702702702709,192,200605,2,2,0.69752794835459,0.971821737516773,141000
46,120,RL,61,7658,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,2,6,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,5,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,Gd,Attchd,2005,RFn,2,576,TA,TA,Y,196,82,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,-0.682926829268354,292,201002,1,3,1.13213981244672,1.19481037924152,319900
